,win,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
14042,0,1.25,5.5,12.0,1.2,6.0,9.0,1.25,4.8,9.5,1.29,5.5,10.0
14043,0,1.25,5.5,12.0,1.18,6.5,9.0,1.22,5.0,10.0,1.22,6.0,13.0
14044,1,1.2,6.5,13.0,1.16,6.5,11.0,1.25,4.8,9.5,1.22,6.0,12.0
14045,1,1.2,6.0,15.0,1.17,6.5,10.0,1.17,5.7,12.0,1.17,7.0,15.0
14046,1,1.29,5.25,10.0,1.25,5.0,9.0,1.3,4.4,8.5,1.29,5.5,9.0
14047,1,1.25,5.75,11.0,1.2,5.8,9.5,1.22,5.0,10.0,1.25,6.0,10.0
14048,1,1.44,4.33,7.0,1.45,4.0,5.9,1.45,3.9,6.0,1.5,4.0,7.0
14049,1,2.1,3.4,3.4,2.05,3.25,3.2,2.2,3.1,3.0,2.1,3.4,3.4
14050,1,1.14,7.5,17.0,1.14,6.75,12.0,1.12,6.5,14.0,1.17,7.0,15.0
14051,1,1.29,5.25,10.0,1.22,5.5,9.25,1.27,4.6,9.0,1.25,5.5,12.0
14052,1,1.17,7.0,15.0,1.15,6.5,11.5,1.15,6.0,13.0,1.17,7.0,15.0
14053,1,1.25,5.5,12.0,1.25,5.25,8.25,1.25,5.0,9.0,1.3,5.0,10.0
14054,1,1.17,7.0,15.0,1.15,6.25,12.5,1.2,5.2,11.0,1.17,7.0,15.0
14055,1,1.33,5.0,9.0,1.35,4.5,7.0,1.35,4.2,7.5,1.33,5.0,9.0
14056,1,1.3,5.0,10.0,1.3,4.75,7.75,1.27,4.8,9.0,1.3,5.5,9.0
14057,1,1.17,7.0,15.0,1.15,6.0,13.0,1.15,6.0,13.0,1.17,7.0,15.0
14058,2,2.3,3.2,3.1,2.2,3.25,2.9,2.2,3.1,3.0,2.25,3.4,3.1
14059,1,1.25,6.0,10.0,1.25,5.25,11.0,1.22,5.0,10.0,1.29,5.5,10.0
14060,0,1.22,6.0,13.0,1.2,5.75,13.5,1.2,5.2,11.0,1.2,6.5,15.0
14061,1,1.25,5.5,12.0,1.2,5.75,13.5,1.25,4.8,9.5,1.25,5.5,12.0
14062,1,1.33,5.0,9.0,1.28,5.0,10.0,1.3,4.4,8.5,1.29,5.0,11.0
14063,1,1.17,6.5,17.0,1.18,6.25,14.0,1.2,5.2,11.0,1.17,7.0,15.0
14064,1,1.25,5.5,12.0,1.25,5.25,11.0,1.25,4.8,9.5,1.25,6.0,10.0
14065,1,2.0,3.3,3.75,1.91,3.3,3.9,2.0,3.2,3.3,2.0,3.2,4.0
14066,1,1.22,6.0,13.0,1.2,5.75,14.0,1.22,5.0,10.0,1.22,6.0,12.0
14067,1,1.25,5.5,12.0,1.22,5.5,13.0,1.22,5.0,10.0,1.25,5.5,12.0
14068,1,1.33,5.0,9.0,1.3,4.75,10.0,1.3,4.4,8.5,1.33,5.0,9.0
14069,1,1.13,7.5,21.0,1.1,8.0,23.0,1.12,6.5,14.0,1.14,7.5,17.0
14070,1,1.36,4.5,9.0,1.35,4.4,9.0,1.33,4.2,8.0,1.36,4.5,9.0
14071,1,1.73,3.75,4.5,1.78,3.7,4.6,1.85,3.2,3.8,1.8,3.5,4.5
14072,1,1.29,5.0,11.0,1.33,4.5,9.5,1.3,4.4,8.5,1.36,4.5,9.0
14073,1,1.33,5.0,9.0,1.31,4.75,9.5,1.37,4.1,7.5,1.36,4.33,9.0
14074,1,1.25,5.5,12.0,1.25,5.0,9.0,1.27,4.8,9.0,1.29,5.5,10.0
14075,2,1.2,6.0,16.0,1.18,6.5,12.5,1.17,5.7,12.0,1.2,6.5,13.0
14076,1,1.25,5.5,12.0,1.22,5.5,12.5,1.25,4.8,9.5,1.22,6.0,12.0
14077,1,1.17,6.5,17.0,1.16,6.5,15.5,1.17,6.0,13.0,1.2,6.5,13.0
14078,1,1.25,5.5,12.0,1.2,5.25,13.0,1.22,5.2,10.5,1.25,5.5,12.0
14079,2,1.2,6.5,13.0,1.2,6.0,10.0,1.2,5.2,11.0,1.22,6.0,13.0
14080,0,1.25,6.0,10.0,1.22,5.5,10.0,1.25,4.8,9.5,1.25,5.5,12.0
14081,2,1.2,6.5,13.0,1.2,5.75,11.0,1.2,5.2,11.0,1.22,6.0,12.0
14082,1,1.2,6.0,15.0,1.18,5.75,12.5,1.2,5.2,11.0,1.2,6.0,15.0
14083,1,1.17,7.0,15.0,1.15,7.25,11.0,1.15,6.0,13.0,1.17,7.0,15.0
14084,1,1.33,5.0,9.0,1.26,5.5,8.0,1.25,4.8,9.5,1.33,5.0,10.0
14085,1,1.36,4.75,8.5,1.3,4.75,8.25,1.35,4.2,7.5,1.36,4.6,8.5
14086,1,1.29,5.5,9.5,1.26,5.0,9.5,1.3,4.4,8.5,1.28,5.5,10.0
14087,1,1.2,6.0,15.0,1.2,6.25,9.5,1.22,5.0,10.0,1.22,6.0,12.0
14088,1,1.3,5.5,9.0,1.3,4.75,8.25,1.33,4.2,8.0,1.33,5.5,8.0
14089,1,1.11,8.5,23.0,1.12,7.25,14.5,1.12,6.5,14.0,1.14,7.5,19.0
14090,1,1.29,5.5,9.5,1.25,5.0,9.75,1.3,4.4,8.5,1.3,5.5,9.0
14091,1,1.25,5.75,11.0,1.22,5.5,10.0,1.3,4.6,8.0,1.28,5.5,10.0
14092,1,1.36,4.6,8.5,1.35,4.5,7.25,1.35,4.2,7.5,1.36,4.59,8.5
14093,1,1.44,4.33,7.0,1.48,4.1,5.5,1.4,4.0,6.5,1.44,4.33,7.0
14094,0,1.2,6.0,15.0,1.2,5.5,12.0,1.2,5.2,11.0,1.22,6.0,13.0
14095,1,1.2,6.5,13.0,1.16,6.25,13.0,1.18,5.7,12.0,1.17,6.0,11.0
14096,1,1.3,5.25,9.5,1.38,5.0,8.75,1.27,4.8,9.5,1.3,5.5,9.0
14097,1,1.25,5.5,12.0,1.22,5.75,9.25,1.25,4.8,9.5,1.25,6.0,10.0
14098,0,1.33,4.6,10.0,1.3,5.0,7.75,1.37,4.1,7.5,1.33,5.0,9.0
14099,1,1.44,4.33,7.0,1.4,4.25,6.75,1.45,3.9,6.0,1.44,4.33,7.0
14100,1,1.2,6.0,15.0,1.2,5.75,10.5,1.22,5.0,10.0,1.22,6.0,13.0
14101,1,1.11,9.0,21.0,1.12,8.5,11.5,1.1,7.0,15.0,1.12,8.0,21.0
14102,1,1.14,8.0,15.0,1.17,6.5,11.0,1.17,5.7,12.0,1.16,7.0,15.0
14103,1,1.14,7.5,19.0,1.14,7.0,12.5,1.15,6.0,13.0,1.14,7.5,17.0
14104,1,1.17,7.5,13.0,1.19,6.25,10.5,1.17,5.7,12.0,1.2,6.5,13.0
14105,1,1.3,5.5,8.5,1.3,4.75,8.0,1.33,4.2,8.0,1.33,5.0,9.0
14106,1,1.22,6.0,12.0,1.22,5.75,9.75,1.25,4.8,9.5,1.25,5.5,12.0
14107,1,1.29,5.5,9.5,1.26,5.25,8.5,1.25,4.8,9.5,1.28,5.5,9.0
14108,1,1.18,7.0,13.0,1.15,6.5,13.5,1.15,6.0,13.0,1.16,7.0,15.0
14109,0,1.18,6.5,13.0,1.14,7.0,13.0,1.2,5.2,11.0,1.18,7.0,13.0
14110,1,1.3,5.0,11.0,1.3,5.0,7.75,1.27,4.6,9.0,1.28,5.5,10.0
14111,1,1.4,4.5,8.0,1.4,4.75,5.75,1.4,4.0,6.5,1.44,4.0,7.0
14112,1,1.29,5.5,10.0,1.3,5.25,7.25,1.3,4.6,8.0,1.33,5.0,9.0
14113,0,1.44,4.33,7.0,1.4,4.1,7.25,1.35,4.2,7.5,1.44,4.5,6.5
14114,1,1.4,4.75,7.0,1.36,4.33,7.5,1.35,4.2,7.5,1.4,4.5,8.0
14115,1,1.4,4.5,8.0,1.4,4.33,6.5,1.4,4.0,6.5,1.44,4.33,7.0
14116,1,1.18,7.0,13.0,1.18,6.5,10.0,1.2,5.5,12.0,1.2,6.5,13.0
14117,1,1.2,6.5,13.0,1.22,5.75,9.5,1.25,5.0,10.0,1.25,6.0,11.0
14118,1,1.3,5.0,10.0,1.3,5.25,7.25,1.3,4.8,8.5,1.33,5.0,8.5
14119,1,1.2,7.0,11.0,1.2,6.0,10.0,1.2,5.5,12.0,1.22,6.5,12.0
14120,1,1.14,7.5,17.0,1.14,6.25,15.0,1.15,6.2,14.0,1.15,7.5,15.0
14121,0,1.14,7.5,19.0,1.15,6.5,13.0,1.15,6.2,14.0,1.14,7.5,17.0
14122,2,1.18,6.5,15.0,1.2,6.0,10.0,1.25,5.0,10.0,1.22,6.5,13.0
14123,1,1.14,8.0,15.0,1.14,7.5,12.0,1.17,5.8,13.0,1.14,7.5,19.0
14124,1,1.17,7.0,15.0,1.14,6.25,15.0,1.22,5.3,11.0,1.17,7.0,17.0
14125,1,1.18,7.0,13.0,1.16,6.25,12.5,1.2,5.5,12.0,1.2,6.5,15.0
14126,1,1.57,3.8,6.0,1.6,3.9,5.0,1.6,3.6,5.0,1.57,4.0,5.5
14127,1,1.44,4.5,6.5,1.4,4.5,6.0,1.4,4.1,7.0,1.44,4.5,7.0
14128,1,1.18,6.5,15.0,1.2,6.0,9.75,1.22,5.3,11.0,1.22,6.0,12.0
14129,1,1.17,7.0,15.0,1.16,6.25,12.5,1.15,6.2,14.0,1.17,7.0,15.0
14130,1,1.13,7.5,23.0,1.14,7.0,12.0,1.17,5.8,13.0,1.14,8.0,21.0
14131,1,1.25,5.75,11.0,1.26,5.0,9.0,1.27,5.0,9.0,1.29,5.2,10.0
14132,1,1.45,4.5,6.5,1.45,4.5,5.25,1.45,3.9,6.5,1.5,4.0,7.0
14133,0,1.22,6.0,12.0,1.26,5.0,9.5,1.3,4.8,8.5,1.3,5.5,10.0
14134,2,1.22,6.0,12.0,1.22,5.0,12.0,1.25,5.0,10.0,1.28,5.5,10.0
14135,1,1.17,7.0,15.0,1.14,6.75,14.0,1.15,6.2,14.0,1.22,6.0,15.0
14136,1,1.17,7.5,13.0,1.18,6.0,11.5,1.17,5.8,13.0,1.18,7.0,15.0
14137,1,1.4,5.0,6.5,1.4,4.5,6.0,1.45,3.9,6.5,1.4,4.5,6.5
14138,0,1.13,8.0,19.0,1.1,8.0,16.0,1.1,7.5,16.0,1.1,11.0,26.0
14139,1,1.17,7.5,13.0,1.15,7.0,11.0,1.15,6.2,14.0,1.2,7.0,13.0
14140,2,1.13,8.0,19.0,1.13,7.0,14.5,1.15,6.2,14.0,1.14,8.5,21.0
14141,1,1.22,6.5,11.0,1.2,5.75,10.5,1.25,5.0,10.0,1.22,6.0,12.0
14142,1,1.18,7.0,13.0,1.22,5.5,10.5,1.22,5.3,11.0,1.2,6.5,15.0
14143,1,1.22,6.0,13.0,1.22,5.75,9.0,1.25,5.0,10.0,1.25,5.75,12.0
14144,1,1.17,7.0,15.0,1.16,6.0,14.0,1.17,5.8,13.0,1.18,6.5,17.0
14145,0,1.17,7.0,15.0,1.16,6.5,12.0,1.17,5.8,13.0,1.17,7.0,19.0
14146,1,1.25,6.0,10.0,1.22,5.5,10.0,1.22,5.3,11.0,1.29,5.5,11.0
14147,0,1.18,7.0,13.0,1.18,6.0,11.5,1.2,5.5,12.0,1.22,6.5,12.0
14148,1,1.44,4.5,6.5,1.48,4.1,5.5,1.45,3.9,6.5,1.5,4.33,6.5
14149,1,1.22,6.5,11.0,1.17,6.5,11.5,1.25,5.5,9.0,1.22,6.5,12.0
14150,1,1.18,6.5,15.0,1.2,5.5,11.5,1.22,5.3,11.0,1.22,6.0,15.0
14151,1,1.17,7.0,15.0,1.17,6.0,13.0,1.2,5.5,12.0,1.2,6.5,15.0
14152,1,1.2,6.5,13.0,1.22,5.5,9.75,1.25,5.0,10.0,1.22,6.0,13.0
14153,0,1.22,6.0,13.0,1.25,5.5,8.75,1.3,4.8,8.5,1.22,6.0,12.0
14154,1,1.83,3.5,4.33,1.65,3.5,4.6,1.8,3.2,4.0,1.8,3.5,4.5
14155,1,2.0,3.2,4.0,1.85,3.2,3.85,1.9,3.2,3.6,1.91,3.4,4.0
14156,0,7.0,4.0,1.5,5.85,4.0,1.45,5.0,3.7,1.55,7.0,4.0,1.5
14157,1,2.5,3.25,2.8,2.45,3.25,2.55,2.3,3.2,2.7,2.5,3.4,2.7
14158,1,1.91,3.4,4.0,1.85,3.2,3.85,1.9,3.2,3.6,1.83,3.5,4.33
14159,1,2.1,3.4,3.4,1.9,3.3,3.6,2.0,3.2,3.3,2.1,3.2,3.0
14160,2,1.67,3.75,5.0,1.55,3.6,5.4,1.55,3.7,5.0,1.57,3.75,4.5
14161,2,2.63,3.25,2.63,2.5,3.25,2.5,2.55,3.1,2.55,2.75,3.3,2.5
14162,0,2.1,3.3,3.5,2.0,3.25,3.3,2.2,3.1,3.0,2.1,3.4,3.4
14163,2,2.38,3.25,3.0,2.4,3.25,2.7,2.3,3.2,2.7,2.5,3.3,2.75
14164,2,1.8,3.5,4.5,1.65,3.5,4.6,1.65,3.5,4.5,1.73,3.5,5.0
14165,1,1.83,3.5,4.33,1.8,3.4,3.8,1.7,3.4,4.3,1.83,3.5,4.33
14166,2,2.63,3.3,2.6,2.5,3.25,2.5,2.5,3.1,2.6,2.6,3.4,2.6
14167,2,2.3,3.3,3.1,2.25,3.2,2.85,2.2,3.1,3.0,2.25,3.4,3.1
14168,2,5.5,3.75,1.62,5.25,3.9,1.5,4.3,3.4,1.7,6.0,3.75,1.57
14169,0,2.1,3.4,3.4,2.0,3.25,3.3,2.0,3.2,3.3,2.1,3.4,3.4
14170,1,2.0,3.4,3.75,2.0,3.25,3.3,1.9,3.3,3.5,2.0,3.4,3.75
14171,2,1.73,3.5,5.0,1.65,3.5,4.6,1.65,3.5,4.5,1.67,3.75,5.0
14172,1,1.67,3.75,5.0,1.65,3.5,4.6,1.65,3.5,4.5,1.73,3.5,5.0
14173,1,7.0,4.33,1.44,6.0,4.2,1.42,6.0,3.9,1.45,7.0,4.33,1.44
14174,2,6.0,3.8,1.57,6.0,3.6,1.5,5.0,3.7,1.55,6.0,3.75,1.57
14175,1,2.25,3.25,3.2,2.1,3.0,3.3,1.9,3.3,3.5,2.25,3.25,3.25
14176,1,2.5,3.25,2.8,2.4,3.0,2.75,2.5,3.2,2.5,2.5,3.3,2.75
14177,2,6.5,4.2,1.5,5.0,3.9,1.53,6.5,4.0,1.4,6.5,4.0,1.5
14178,0,2.25,3.4,3.1,2.2,3.2,2.9,2.1,3.1,3.2,2.38,3.4,2.88
